time_stamp,latitude,longitude,height,speed,sensor_time_counter
1726037735.001818,35.45171036,139.63646503,42.615080,nan,0
1726037735.014966,35.45171018,139.63646546,42.615020,nan,0
1726037735.023537,35.45170999,139.63646589,42.614955,nan,0
1726037735.033839,35.45170980,139.63646632,42.614870,nan,0
1726037735.046818,35.45170969,139.63646754,42.624672,nan,0
1726037735.053409,35.45170950,139.63646798,42.624536,nan,0
1726037735.062989,35.45170932,139.63646841,42.624380,nan,0
1726037735.072240,35.45170913,139.63646885,42.624219,nan,0
1726037735.082537,35.45170894,139.63646928,42.624063,nan,0
1726037735.092232,35.45170876,139.63646972,42.623905,nan,0
1726037735.102370,35.45170857,139.63647015,42.623732,nan,0
1726037735.113447,35.45170838,139.63647059,42.623536,nan,0
1726037735.123938,35.45170820,139.63647103,42.623341,nan,0
1726037735.133928,35.45170801,139.63647146,42.623160,nan,0
1726037735.143757,35.45170782,139.63647190,42.622991,nan,0
1726037735.153936,35.45170763,139.63647234,42.622811,nan,0
1726037735.162375,35.45170745,139.63647278,42.622605,nan,0
1726037735.172524,35.45170726,139.63647322,42.622388,nan,0
1726037735.182378,35.45170707,139.63647366,42.622174,nan,0
1726037735.192420,35.45170688,139.63647410,42.621955,nan,0
1726037735.202270,35.45170669,139.63647454,42.621716,nan,0
1726037735.213588,35.45170650,139.63647498,42.621452,nan,0
1726037735.223952,35.45170631,139.63647542,42.621169,nan,0
1726037735.233733,35.45170612,139.63647586,42.620871,nan,0
1726037735.243940,35.45170593,139.63647630,42.620561,nan,0
1726037735.253738,35.45170574,139.63647674,42.620239,nan,0
1726037735.262920,35.45170555,139.63647718,42.619911,nan,0
1726037735.272230,35.45170536,139.63647762,42.619582,nan,0
1726037735.282398,35.45170517,139.63647806,42.619245,nan,0
1726037735.292279,35.45170498,139.63647850,42.618888,nan,0
1726037735.302526,35.45170478,139.63647894,42.618505,nan,0
1726037735.313899,35.45170459,139.63647939,42.618100,nan,0
1726037735.323416,35.45170440,139.63647983,42.617671,nan,0
1726037735.333938,35.45170421,139.63648027,42.617212,nan,0
1726037735.343768,35.45170402,139.63648071,42.616726,nan,0
1726037735.353930,35.45170382,139.63648115,42.616222,nan,0
1726037735.362638,35.45170363,139.63648159,42.615711,nan,0
1726037735.372419,35.45170344,139.63648203,42.615193,nan,0
1726037735.381886,35.45170325,139.63648247,42.614664,nan,0
1726037735.392392,35.45170306,139.63648292,42.614128,nan,0
1726037735.402478,35.45170287,139.63648336,42.613612,nan,0
1726037735.413784,35.45170268,139.63648380,42.613131,nan,0
1726037735.423911,35.45170249,139.63648424,42.612670,nan,0
1726037735.433416,35.45170230,139.63648469,42.612204,nan,0
1726037735.443910,35.45170211,139.63648513,42.611719,nan,0
1726037735.453725,35.45170192,139.63648557,42.611223,nan,0
1726037735.463455,35.45170173,139.63648602,42.610729,nan,0
1726037735.472169,35.45170154,139.63648646,42.610242,nan,0
1726037735.482034,35.45170135,139.63648690,42.609751,nan,0
1726037735.492290,35.45170116,139.63648735,42.609249,nan,0
1726037735.502197,35.45170097,139.63648779,42.608752,nan,0
1726037735.514433,35.45170078,139.63648824,42.608275,nan,0
1726037735.524898,35.45170060,139.63648868,42.607816,nan,0
1726037735.536420,35.45170025,139.63648900,42.620019,nan,0
